"Sub Category","Price","Discount","Rating","Title"
"Bakery & Desserts","$56.99 ","No Discount","Rated 4.3 out of 5 stars based on 265 reviews.","David’s Cookies Mile High Peanut Butter Cake, 6.8 lbs (14 Servings)"
"Bakery & Desserts","$159.99 ","No Discount","Rated 5 out of 5 stars based on 1 reviews.","The Cake Bake Shop 8"" Round Carrot Cake (16-22 Servings)"
"Bakery & Desserts","$44.99 ","No Discount","Rated 4.1 out of 5 stars based on 441 reviews.","St Michel Madeleine, Classic French Sponge Cake 100 - count"
"Bakery & Desserts","$39.99 ","No Discount","Rated 4.7 out of 5 stars based on 9459 reviews.","David's Cookies Butter Pecan Meltaways 32 oz, 2-pack"
"Bakery & Desserts","$59.99 ","No Discount","Rated 4.5 out of 5 stars based on 758 reviews.","David’s Cookies Premier Chocolate Cake, 7.2 lbs (Serves 14)"
"Bakery & Desserts","$59.99 ","No Discount","Rated 4.4 out of 5 stars based on 369 reviews.","David's Cookies Mango & Strawberry Cheesecake 2-count (28 Slices Total)"
"Bakery & Desserts","$74.99 ","No Discount","Rated 4.7 out of 5 stars based on 2241 reviews.","La Grande Galette French Butter Cookies, 1.3 lb, 6-pack"
"Bakery & Desserts","$59.99 ","No Discount","Rated 4.4 out of 5 stars based on 232 reviews.","David's Cookies No Sugar Added Cheesecake & Marble Truffle Cake, 2-pack (28 Slices Total)"
"Bakery & Desserts","$29.99 ","No Discount","Rated 4.4 out of 5 stars based on 1679 reviews.","David's Cookies Brownie and Cookie Combo Pack"
"Bakery & Desserts","$159.99 ","No Discount","Rated 5 out of 5 stars based on 2 reviews.","The Cake Bake Shop 8"" Round Chocolate Cake (16-22 Servings)"
"Bakery & Desserts","$62.99 ","No Discount","Rated 4 out of 5 stars based on 357 reviews.","David's Cookies 10"" Rainbow Cake  (12 Servings)"
"Bakery & Desserts","$299.99 ","No Discount","Rated 3 out of 5 stars based on 1 reviews.","The Cake Bake Shop 2 Tier Special Occasion Cake (16-22 Servings)"
"Bakery & Desserts","$54.99 ","No Discount","Rated 4.7 out of 5 stars based on 273 reviews.","David's Cookies 90-piece Gourmet Chocolate Chunk Frozen Cookie Dough"
"Bakery & Desserts","$54.99 ","No Discount","Rated 4.6 out of 5 stars based on 369 reviews.","David's Cookies Chocolate Fudge Birthday Cake, 3.75 lbs.  Includes Party Pack (16 Servings)"
"Bakery & Desserts","$89.99 ","No Discount","Rated 4.6 out of 5 stars based on 133 reviews.","Ferrara’s Bakery New York Cheesecake 2-pack"
"Bakery & Desserts","$59.99 ","No Discount","Rated 4.5 out of 5 stars based on 452 reviews.","David’s Cookies Variety Cheesecakes, 2-pack (28 Slices Total)"
"Bakery & Desserts","$89.99 ","No Discount","No Reviews","Classic Cake Tiramisu Quarter Sheet Cake (14 Pre-Cut Total Slices, 4.57 Oz. Per Slice, 4 Lbs. Total Box)"
"Bakery & Desserts","$49.99 ","No Discount","Rated 4.2 out of 5 stars based on 85 reviews.","Mary Macleod's Gluten Free Shortbread Cookies Mixed Assortment 8-Pack "
"Bakery & Desserts","$159.99 ","No Discount","Rated 1.5 out of 5 stars based on 2 reviews.","The Cake Bake Shop 8"" Round Pixie Fetti Cake (16-22 Servings)"
"Bakery & Desserts","$89.99 ","No Discount","No Reviews","Classic Cake Chocolate Entremet Quarter Sheet Cake (14 Pre-Cut Total Slices, 4 Oz. Per Slice, 3.5 Lbs. Total Box)"
"Bakery & Desserts","$99.99 ","No Discount","Rated 3.6 out of 5 stars based on 5 reviews.","Ferrara’s Bakery 8 in. Tiramisu Cake, 2-pack"
"Bakery & Desserts","$89.99 ","No Discount","Rated 3 out of 5 stars based on 2 reviews.","Classic Cake Limoncello Quarter Sheet Cake (14 Pre-Cut Total Slices, 4 Oz. Per Slice, 3.5 Lbs Total Box)"
"Bakery & Desserts","$24.99 ","No Discount","Rated 4.7 out of 5 stars based on 687 reviews.","deMilan Panettone Classico Tin Cake 2.2 lb Tin"
"Bakery & Desserts","$39.99 ","No Discount","Rated 4.3 out of 5 stars based on 845 reviews.","David’s Cookies Decadent Triple Chocolate made with mini Hershey’s Kisses and Reese’s Peanut Butter Cup Cookies Tin – 2 Count"
"Bakery & Desserts","$72.99 ","No Discount","Rated 4.3 out of 5 stars based on 87 reviews.","Ferrara's Bakery 4 lbs. Italian Cookie Pack"
"Bakery & Desserts","$119.99 ","No Discount","Rated 2.2 out of 5 stars based on 4 reviews.","Ferrara's Bakery 48 Mini Cannoli's (24 Plain Filled and 24 Hand Dipped Belgian Chocolate) - 1.5"" to 2"" In Length"
"Bakery & Desserts","$109.99 ","No Discount","Rated 4.2 out of 5 stars based on 181 reviews.","Ferrara's Bakery 24 Large Cannoli's (12 Plain Filled and 12 Hand Dipped Belgian Chocolate)"
"Bakery & Desserts","$99.99 ","No Discount","Rated 4 out of 5 stars based on 16 reviews.","Mary Macleod’s Shortbread, Variety Tin, 3-pack, 24 cookies per tin"
"Bakery & Desserts","$34.99 ","No Discount","Rated 4.5 out of 5 stars based on 702 reviews.","Ferrara's Bakery Rainbow Cookies 1.5 lb"
"Bakery & Desserts","$59.99 ","No Discount","Rated 4.2 out of 5 stars based on 137 reviews.","Ferrara's Bakery 2 lb Italian Cookie Tray and Struffoli"
"Bakery & Desserts","$89.99 ","No Discount","Rated 3 out of 5 stars based on 5 reviews.","Tootie Pie 11"" Heavenly Chocolate Pie, 2- pack "
"Bakery & Desserts","$89.99 ","No Discount","No Reviews","Tootie Pie 11"" Whiskey Pecan Pie, 2-pack"
"Bakery & Desserts","$59.99 ","No Discount","No Reviews","Tootie Pie 11"" Huge Original Apple Pie"
"Beverages & Water","$99.99 ","After $30 OFF","Rated 4.5 out of 5 stars based on 28 reviews.","Pulp & Press Organic Cold-Pressed Wellness Shot Pack, 48-pack"
"Beverages & Water","$27.99 ","No Discount","","Prime Hydration+ Sticks Electrolyte Drink Mix, Variety Pack, 30-Count"
"Beverages & Water","$21.99 ","No Discount","","Prime Hydration Drink, Variety Pack, 16.9 fl oz, 15-count"
"Beverages & Water","$20.99 ","After $5 OFF","","Alani Nu Energy Drink, Variety Pack, 12 fl oz, 18-count"
"Beverages & Water","$19.99 ","After $5 OFF","","Poppi Prebiotic Soda, Variety Pack, 12 fl oz, 15-count"
"Beverages & Water","$19.99 ","After $5 OFF","","Poppi Prebiotic Soda, Variety Pack, 12 fl oz, 15-count"
"Beverages & Water","$439.99 ","This item is not returnable.","Rated 4.3 out of 5 stars based on 1957 reviews.","Kirkland Signature Bottled Water 16.9 fl oz, 40-count, 48 Case Pallet"
"Beverages & Water","$9.99 ","No Discount","","Kirkland Signature, Organic Almond Beverage, Vanilla, 32 fl oz, 6-Count"
"Beverages & Water","$14.99 ","No Discount","","Kirkland Signature, Almond Milk, 1 qt, 12-count"
"Beverages & Water","$21.99 ","No Discount","","Kirkland Signature, Organic Reduced Fat Chocolate Milk, 8.25 fl oz, 24-Count"
"Beverages & Water","$18.99 ","No Discount","","Kirkland Signature Colombian Cold Brew Coffee, 11 fl oz, 12-count"
"Beverages & Water","$21.49 ","No Discount","","Hint Flavored Water, Variety Pack, 16 fl oz, 21-count"
"Beverages & Water","$17.99 ","No Discount","","Califia Farms, Cafe Almond Milk, 32 oz, 6-Count"
"Beverages & Water","$89.99 ","After $20 OFF","Rated 4.4 out of 5 stars based on 40 reviews.","Pulp and Press 3-Day Organic Cold Pressed Juice Cleanse"
"Beverages & Water","$23.99 ","No Discount","","Saratoga Sparkling Spring Water, 16 fl oz, 24-count"
"Beverages & Water","$4.99 ","No Discount","","Pure Life Purified Water, 8 fl oz, 24-count"
"Beverages & Water","$24.99 ","No Discount","","Fiji Natural Artesian Water, 23.7 fl oz, 12-count"
"Beverages & Water","$18.99 ","No Discount","","Tropicana, Apple Juice, 15.2 fl oz, 12-Count"
"Beverages & Water","$54.99 ","No Discount","Rated 4.8 out of 5 stars based on 33 reviews.","Olipop 12 oz Prebiotics Soda Variety Pack, 24 Count"
"Beverages & Water","$12.99 ","No Discount","","SO Delicious, Organic Coconut Milk, 32 oz, 6-Count"
"Beverages & Water","$21.99 ","No Discount","","La Colombe Draft Latte Cold Brew Coffee, Variety Pack, 9 fl oz, 12-count"
"Beverages & Water","$18.99 ","No Discount","","Tropicana, 100% Orange Juice, 10 fl oz, 24-Count"
"Beverages & Water","$18.99 ","No Discount","","Coca-Cola Mini, 7.5 fl oz, 30-count"
"Beverages & Water","$32.99 ","No Discount","Rated 5 out of 5 stars based on 1 reviews.","Joyburst Energy Variety, 12 fl oz, 18-count"
"Beverages & Water","$29.99 ","No Discount","","Illy Cold Brew Coffee Drink, Classico, 8.45 fl oz, 12-count"
"Beverages & Water","$21.99 ","No Discount","","Kirkland Signature, Organic Coconut Water, 33.8 fl oz, 9-count"
"Beverages & Water","$13.79 ","No Discount","","LaCroix Sparkling Water, Variety Pack, 12 fl oz, 24-count"
"Beverages & Water","$23.49 ","No Discount","","C4 Performance Energy Drink, Frozen Bombsicle, 16 fl oz, 12-count"
"Beverages & Water","$19.99 ","No Discount","","San Pellegrino Sparkling Natural Mineral Water, Unflavored, 11.15 fl oz, 24-count"
"Beverages & Water","$14.99 ","No Discount","","Kirkland Signature Green Tea Bags, 1.5 g, 100-count"
"Beverages & Water","$21.99 ","No Discount","","Horizon, Organic Whole Milk, 8 oz, 18-Count"
"Beverages & Water","$13.79 ","No Discount","","LaCroix Sparkling Water, Lime, 12 fl oz, 24-count"
"Beverages & Water","$14.99 ","No Discount","","Liquid Death Sparkling Water, 16.9 fl oz, 18-count"
"Beverages & Water","$34.99 ","No Discount","Rated 4.5 out of 5 stars based on 1911 reviews.","Starbucks Classic Hot Cocoa Mix 30 oz, 2-pack"
"Beverages & Water","$39.99 ","No Discount","Rated 4 out of 5 stars based on 138 reviews.","VitaCup Green Tea Instant Packets with Matcha, Enhance Energy & Detox, 2-pack (48-count total)"
"Beverages & Water","$19.99 ","No Discount","","San Pellegrino Essenza, Variety Pack, 11.15 fl oz, 24-count"
"Beverages & Water","$22.99 ","No Discount","","Carnation, Evaporated Milk, 12 fl oz, 12-Count"
"Beverages & Water","$49.99 ","No Discount","Rated 4.8 out of 5 stars based on 1150 reviews.","Sencha Naturals Everyday Matcha Green Tea Powder, 3-pack"
"Beverages & Water","$14.99 ","No Discount","","LaCroix Curate Commemorative Collection Sparkling Water, Variety Pack, 12 fl oz, 24-count"
"Beverages & Water","$8.99 ","No Discount","","Lipton, Iced Tea Mix, Lemon, 5 lbs"
"Beverages & Water","$23.99 ","No Discount","","San Pellegrino Italian Sparkling Drink, Variety Pack, 11.15 fl oz, 24-count"
"Beverages & Water","$12.99 ","No Discount","","Kirkland Signature, Organic Non-Dairy Oat Beverage, 32 oz, 6-count"
"Beverages & Water","$21.99 ","No Discount","","Horizon, Organic Low-fat Milk, 8 oz, 18-Count"
"Beverages & Water","$23.99 ","No Discount","","Vita Coco, Coconut Water, 11.1 fl oz, 18-Count"
"Beverages & Water","$15.99 ","No Discount","","Nestle La Lechera, Sweetened Condensed Milk, 14 oz, 6-Count"
"Beverages & Water","$12.99 ","No Discount","","Kirkland Signature, Organic Coconut Water, 11.1 fl oz, 12-count"
"Beverages & Water","$13.79 ","No Discount","","LaCroix Sparkling Water, Grapefruit, 12 fl oz, 24-count"
"Beverages & Water","$28.99 ","No Discount","","Celsius Sparkling Energy Drink, Variety Pack, 12 fl oz, 18-count"
